x y time dx dy dt dr^2 TotalDisplacementSquared
11
9.8E-06 1.876E-05 0 0 0 0 0 0
9.24E-06 1.876E-05 0.230023 -5.6E-07 0 0.230023 3.136E-13 3.136E-13
9.24E-06 1.876E-05 0.3070307 0 0 0.0770077 0 3.136E-13
9.8E-06 1.876E-05 0.3830383 5.6E-07 0 0.0760076 3.136E-13 0
5.32E-06 2.072E-05 0.460046 -4.48E-06 1.96E-06 0.0770077 2.3912E-11 2.3912E-11
5.32E-06 2.072E-05 0.5370537 0 0 0.0770077 0 2.3912E-11
5.32E-06 2.072E-05 0.6130613 0 0 0.0760076 0 2.3912E-11
5.32E-06 1.988E-05 0.7660766 0 -8.4E-07 0.1530153 7.056E-13 2.13248E-11
5.88E-06 1.96E-05 0.8430843 5.6E-07 -2.8E-07 0.0770077 3.92E-13 1.6072E-11
5.88E-06 1.96E-05 0.920092 0 0 0.0770076999999999 0 1.6072E-11
5.88E-06 1.876E-05 0.9960996 0 -8.4E-07 0.0760076000000001 7.056E-13 1.53664E-11
11
3.388E-05 5.56101960784314E-05 0 0 0 0 0 0
3.388E-05 5.572E-05 0.0760076 0 1.09803921568631E-07 0.0760076 1.20569011918501E-14 1.20569011918501E-14
3.388E-05 5.572E-05 0.1530153 0 0 0.0770077 0 1.20569011918501E-14
3.388E-05 5.572E-05 0.2290229 0 0 0.0760076 0 1.20569011918501E-14
3.388E-05 5.572E-05 0.3060306 0 0 0.0770077 0 1.20569011918501E-14
3.388E-05 5.572E-05 0.3830383 0 0 0.0770077 0 1.20569011918501E-14
3.388E-05 5.572E-05 0.5360536 0 0 0.1530153 0 1.20569011918501E-14
3.388E-05 5.572E-05 0.6120612 0 0 0.0760076 0 1.20569011918501E-14
3.388E-05 5.572E-05 0.6890689 0 0 0.0770077 0 1.20569011918501E-14
3.388E-05 5.572E-05 0.7660766 0 0 0.0770077 0 1.20569011918501E-14
3.388E-05 5.572E-05 0.8420842 0 0 0.0760076 0 1.20569011918501E-14
12
3.332E-05 5.572E-05 0 0 0 0 0 0
3.332E-05 5.572E-05 0.1540154 0 0 0.1540154 0 0
3.332E-05 5.572E-05 0.3070307 0 0 0.1530153 0 0
3.276E-05 5.572E-05 0.3830383 -5.6E-07 0 0.0760076 3.136E-13 3.136E-13
3.332E-05 5.572E-05 0.460046 5.6E-07 0 0.0770077 3.136E-13 0
3.332E-05 5.572E-05 0.5360536 0 0 0.0760076000000001 0 0
3.332E-05 5.572E-05 0.6130613 0 0 0.0770076999999999 0 0
3.332E-05 5.572E-05 0.8430843 0 0 0.230023 0 0
3.332E-05 5.572E-05 0.9190919 0 0 0.0760076 0 0
3.332E-05 5.572E-05 0.9960996 0 0 0.0770077 0 0
3.332E-05 5.572E-05 1.0731073 0 0 0.0770077 0 0
3.332E-05 5.572E-05 1.1491149 0 0 0.0760076000000001 0 0
12
8.12E-06 4.872E-05 0 0 0 0 0 0
8.12E-06 4.788E-05 0.1530153 0 -8.4E-07 0.1530153 7.056E-13 7.056E-13
8.12E-06 4.676E-05 0.230023 0 -1.12E-06 0.0770077 1.2544E-12 3.8416E-12
