x y time dx dy dt dr^2 TotalDisplacementSquared
12
5.236E-05 4.2E-06 0 0 0 0 0 0
5.236E-05 4.2E-06 0.1640164 0 0 0.1640164 0 0
5.236E-05 4.2E-06 0.3280328 0 0 0.1640164 0 0
5.236E-05 4.2E-06 0.4920492 0 0 0.1640164 0 0
5.292E-05 3.36E-06 0.8190819 5.6E-07 -8.4E-07 0.3270327 1.0192E-12 1.0192E-12
5.292E-05 2.24E-06 1.3111311 0 -1.12E-06 0.4920492 1.2544E-12 4.1552E-12
5.292E-05 2.24E-06 1.4741474 0 0 0.1630163 0 4.1552E-12
5.348E-05 2.24E-06 1.6381638 5.6E-07 0 0.1640164 3.136E-13 5.096E-12
5.292E-05 2.24E-06 1.8021802 -5.6E-07 0 0.1640164 3.136E-13 4.1552E-12
5.292E-05 2.24E-06 1.9661966 0 0 0.1640164 0 4.1552E-12
5.292E-05 2.24E-06 2.130213 0 0 0.1640164 0 4.1552E-12
5.292E-05 2.24E-06 2.2932293 0 0 0.1630163 0 4.1552E-12
11
9.8E-06 4.704E-05 0 0 0 0 0 0
1.036E-05 4.704E-05 0.4920492 5.6E-07 0 0.4920492 3.136E-13 3.136E-13
1.036E-05 4.704E-05 0.6560656 0 0 0.1640164 0 3.136E-13
1.036E-05 4.704E-05 0.8190819 0 0 0.1630163 0 3.136E-13
1.036E-05 4.704E-05 0.9830983 0 0 0.1640164 0 3.136E-13
9.24E-06 4.704E-05 1.3111311 -1.12E-06 0 0.3280328 1.2544E-12 3.136E-13
9.24E-06 4.704E-05 1.4751475 0 0 0.1640164 0 3.136E-13
9.24E-06 4.704E-05 1.6381638 0 0 0.1630163 0 3.136E-13
9.24E-06 4.704E-05 1.8021802 0 0 0.1640164 0 3.136E-13
9.24E-06 4.704E-05 1.9661966 0 0 0.1640164 0 3.136E-13
9.24E-06 4.704E-05 2.130213 0 0 0.1640164 0 3.136E-13
11
4.956E-05 3.472E-05 0 0 0 0 0 0
4.956E-05 3.472E-05 0.1640164 0 0 0.1640164 0 0
4.956E-05 3.472E-05 0.3280328 0 0 0.1640164 0 0
4.956E-05 3.444E-05 0.4920492 0 -2.8E-07 0.1640164 7.84E-14 7.84E-14
5.012E-05 3.444E-05 0.6560656 5.6E-07 0 0.1640164 3.136E-13 3.92E-13
5.012E-05 3.444E-05 0.8190819 0 0 0.1630163 0 3.92E-13
4.9E-05 3.444E-05 0.9830983 -1.12E-06 0 0.1640164 1.2544E-12 3.92E-13
4.9E-05 3.444E-05 1.1471147 0 0 0.1640164 0 3.92E-13
